yearDay,greg,heb,parasha,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39
113,2027-01-01,22 Tevet,Shemot,Torah 115 · KST § 100 (p. 58) · Lo Taaseh 175–176,ג Gimmel · כג · set 6 · day 3 of 22,Chesed shebeTiferet · shebeTiferet · day 15 of 49,ייז · 40 of 72 · אִמֵּר 16 · ה׳,Winter · 22 of 91 · Ratzo · F1 letter 22 · Eicha 1:22 · ת,1st cycle 9 · day 9 of 13 · Vetashlich Bimtzulot Yam,Cycle 3 · day 31 of 41 · Chayah 1 of 10 · I Am the Lord,OC 225–226 · Orach Chaim · 225 of 728,Shemot · D6 · P1 · C3,set 5 · 1/28 · Things that Come from a Live Animal 2 · Birds 1,Torah 115 · Zohar II 6–7,§ 100 (p. 58) · Shemot,Lo Taaseh 175–176,LT Vayikra · Folio 13 · day 113 of 364,Prayer 56 — second half · day 113 of 364,Chagigah 1 & 2 · Week 17 · Day 1,Jeremiah 12 & 13 · Week 17 · Day 1,Chapter 9 · cycle 9 · day 9 of 13,Sichos HaRan · §113 of 308 · day 113 of 369,OC 225–226 · half-days 225 & 226,Shemot,Ben Ish Chai · Halachot,Se’if י״א · day 9 of 13,וְזֶה כָּל הָאָדָם וְתַכְלִית בְּרִיאָתוֹ וּבְרִיאַת כָּל הָעוֹלָמוֹת עֶלְיוֹנִים וְתַּחְתּוֹנִים לִהְיוֹת לוֹ דִירָה זוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Things that Come from a Live Animal 2 · Birds 1,Megillah · 6a · Tevet,Emunah — 4/27 · Emunah — 5/27,Story 25 · 26 · Shemot,Temurah 12 · תְּמוּרָה,Class 112 · of 118,Shemot · Day 6,Day 113 · of 369,Chapter 9 · cycle 9,The Garden of Wisdom · cycle 9 of 13,Phase 9 · day 9 of 13,Gate 25 · Gate 26 · Gate 27 · day 9 of 13,Enumeration of the 613 Mitzvos · Yesodei HaTorah · De'ot · set 5 of 14 · day 1 of 28,Temurah 12 · review,Story 113 · Parshat Shemot
114,2027-01-02,23 Tevet,Shemot,Torah 116 · KST § 101–102 (p. 59) · Lo Taaseh 174–177,ד Dalet · לד · set 6 · day 4 of 22,Gevurah shebeTiferet · shebeTiferet · day 16 of 49,ההה · 41 of 72 · חֵזִיר 17 · ה׳,Winter · 23 of 91 · Right Kidney · Eicha 5,1st cycle 9 · day 10 of 13 · Vetashlich Bimtzulot Yam,Cycle 3 · day 32 of 41 · Chayah 2 of 10 · No Other Gods,OC 227–228 · Orach Chaim · 227 of 728,Shemot · D7 · P1 · C3,set 5 · 2/28 · Birds 2–3 · Shemot,Torah 116 · Zohar II 8–9,§ 101–102 (p. 59) · Shemot,Lo Taaseh 174–177,LT Vayikra · Folio 14 · day 114 of 364,Prayer 57 — first half · day 114 of 364,Chagigah 3 &amp; Yevamot 1 · Week 17 · Day 2,Jeremiah 14 & 15 · Week 17 · Day 2,Chapter 9 · cycle 9 · day 10 of 13,Sichos HaRan · §114 of 308 · day 114 of 369,OC 227–228 · half-days 227 & 228,Shemot,Ben Ish Chai · Drash · Shemot · Drash,Se’if י״ב · day 10 of 13,יִשְׂמַח יִשְׂרָאֵל בְּעוֹשָׂיו פֵּירוּש שֶׁכָּל מִי שֶׁהוּא מִזֶרַע יִשְׂרָאֵל יֵשׁ לוֹ לִשְׂמוֹחַ בְּשִׂמְחַת ה׳ אַשֶׁר שָׂשׂ וְשָׂמֵחַ בְּדִירָתוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Birds 2–3,Megillah · 6a · Tevet,Emunah — 4/27 · Emunah — 5/27,Story 25 · 26 · Shemot,Temurah 13 · תְּמוּרָה,Class 113 · of 118,Sefer Yetzirah · 1:13,Day 114 · of 369,Chapter 9 · cycle 9,The Garden of Wisdom · cycle 9 of 13,Phase 9 · day 10 of 13,Gate 28 · Gate 29 · Gate 30 · day 10 of 13,Talmud Torah · Avodah Zarah · Teshuvah · set 5 of 14 · day 2 of 28,Temurah 13 · review,Story 114 · Parshat Shemot
115,2027-01-03,24 Tevet,Vaera,Torah 117 · KST § 103 (p. 60) · Lo Taaseh 178–179,ה Heh · כה · set 6 · day 5 of 22,Tiferet shebeTiferet · shebeTiferet · day 17 of 49,מיכ · 42 of 72 · הַפִּצֵּץ 18 · ה׳,Winter · 24 of 91 · Ratzo · F2 letter 1 · Eicha 2:1 · א,1st cycle 9 · day 11 of 13 · Vetashlich Bimtzulot Yam,Cycle 3 · day 33 of 41 · Chayah 3 of 10 · Not to Profane G-d's Name,OC 229–230 · Orach Chaim · 229 of 728,Vaera · D1 · P2 · C3,set 5 · 3/28 · Birds 4 · Fish 1,Torah 117 · Zohar II 10–11,§ 103 (p. 60) · Vaera,Lo Taaseh 178–179,LT Vayikra · Folio 15 · day 115 of 364,Prayer 57 — second half · day 115 of 364,Yevamot 2 & 3 · Week 17 · Day 3,Jeremiah 16 & 17 · Week 17 · Day 3,Chapter 9 · cycle 9 · day 11 of 13,Sichos HaRan · §115 of 308 · day 115 of 369,OC 229–230 · half-days 229 & 230,Vaera,Rav Pe’alim · Vol II · Index 5 · Vol II · Orach Chayim 1,Overview · day 11 of 13,"All twelve · Mivtza Chinuch, 5736",Birds 4 · Fish 1,Megillah · 6a · Tevet,Emunah — 6/27 · Emunah — 7/27,Story 27 · 28 · Vaera,Temurah 14 · תְּמוּרָה,Class 114 · of 118,Vaera · Day 1,Day 115 · of 369,Chapter 9 · cycle 9,The Garden of Wisdom · cycle 9 of 13,Phase 9 · day 11 of 13,Gate 31 · Gate 32 · Ohr Ne’erav I · day 11 of 13,"Kriat Shema · Tefilah u'Birkat Kohanim · Tefillin, Mezuzah · set 5 of 14 · day 3 of 28",Temurah 14 · review,Story 115 · Parshat Vaera
116,2027-01-04,25 Tevet,Vaera,Torah 118 · KST § 104 (p. 60) · Lo Taaseh 177–180,ו Vav · לו · set 6 · day 6 of 22,Netzach shebeTiferet · shebeTiferet · day 18 of 49,וול · 43 of 72 · פְּתַחְיָה 19 · ה׳,Winter · 25 of 91 · Ratzo · F2 letter 2 · Eicha 2:2 · ב,1st cycle 9 · day 12 of 13 · Vetashlich Bimtzulot Yam,Cycle 3 · day 34 of 41 · Chayah 4 of 10 · The Sabbath,OC 231–232 · Orach Chaim · 231 of 728,Vaera · D2 · P2 · C3,set 5 · 4/28 · Fish 2–3,Torah 118 · Zohar II 12–13,§ 104 (p. 60) · Vaera,Lo Taaseh 177–180,LT Vayikra · Folio 16 · day 116 of 364,Prayer 58 — first half · day 116 of 364,Yevamot 4 & 5 · Week 17 · Day 4,Jeremiah 18 & 19 · Week 17 · Day 4,Chapter 9 · cycle 9 · day 12 of 13,Sichos HaRan · §116 of 308 · day 116 of 369,OC 231–232 · half-days 231 & 232,Vaera,Rav Pe’alim · Vol II · Orach Chayim 2 · Vol II · Orach Chayim 3,Se’if א׳ · day 12 of 13,תּוֹרָה צִוָה לָנוּ מֹשֶׁה מוֹרָשָׁה קְהִלַת יַעֲקֹב · דברים לג:ד,Fish 2–3,Megillah · 6a · Tevet,Emunah — 6/27 · Emunah — 7/27,Story 27 · 28 · Vaera,Temurah 15 · תְּמוּרָה,Class 115 · of 118,Vaera · Day 2,Day 116 · of 369,Chapter 9 · cycle 9,The Garden of Wisdom · cycle 9 of 13,Phase 9 · day 12 of 13,Ohr Ne’erav II · Ohr Ne’erav III · Ohr Ne’erav IV · day 12 of 13,Tzitzit · Berachot · Milah · set 5 of 14 · day 4 of 28,Temurah 15 · review,Story 116 · Parshat Vaera
117,2027-01-05,26 Tevet,Vaera,Torah 119 · KST § 105 (p. 60) · Lo Taaseh 181–182,ז Zayin · כז · set 6 · day 7 of 22,Hod shebeTiferet · shebeTiferet · day 19 of 49,ילה · 44 of 72 · יְחֶזְקֵאל 20 · ה׳,Winter · 26 of 91 · Ratzo · F2 letter 3 · Eicha 2:3 · ג,1st cycle 9 · day 13 of 13 · Vetashlich Bimtzulot Yam,Cycle 3 · day 35 of 41 · Chayah 5 of 10 · Honor Parents,OC 233–234 · Orach Chaim · 233 of 728,Vaera · D3 · P2 · C3,set 5 · 5/28 · Fish 4–5,Torah 119 · Zohar II 14–15,§ 105 (p. 60) · Vaera,Lo Taaseh 181–182,LT Vayikra · Folio 17 · day 117 of 364,Prayer 58 — second half · day 117 of 364,Yevamot 6 & 7 · Week 17 · Day 5,Jeremiah 20 & 21 · Week 17 · Day 5,Chapter 9 · cycle 9 · day 13 of 13,Sichos HaRan · §117 of 308 · day 117 of 369,OC 233–234 · half-days 233 & 234,Vaera,Rav Pe’alim · Vol II · Orach Chayim 4 · Vol II · Orach Chayim 5,Se’if ב׳ · day 13 of 13,שְׁמַע יִשְׂרָאֵל ה׳ אֶלֹקֵינוּ ה׳ אֶחָד · דברים ו:ד,Fish 4–5,Megillah · 6a · Tevet,Emunah — 6/27 · Emunah — 7/27,Story 27 · 28 · Vaera,Temurah 16 · תְּמוּרָה,Class 116 · of 118,Vaera · Day 3,Day 117 · of 369,Chapter 9 · cycle 9,The Garden of Wisdom · cycle 9 of 13,Phase 9 · day 13 of 13,Ohr Ne’erav V · Ohr Ne’erav VI · Ohr Ne’erav VII · day 13 of 13,Shabbat · Eruvin · Shevitat Asor · set 5 of 14 · day 5 of 28,Temurah 16 · review,Story 117 · Parshat Vaera
118,2027-01-06,27 Tevet,Vaera,Torah 120 · KST § 106 (p. 60) · Lo Taaseh 180–183,ח Chet · לח · set 6 · day 8 of 22,Yesod shebeTiferet · shebeTiferet · day 20 of 49,סאל · 45 of 72 · יָכִין 21 · ה׳,Winter · 27 of 91 · Ratzo · F2 letter 4 · Eicha 2:4 · ד,1st cycle 10 · day 1 of 13 · Titein Emet Le'Yaakov,Cycle 3 · day 36 of 41 · Chayah 6 of 10 · Do Not Murder,OC 235–236 · Orach Chaim · 235 of 728,Vaera · D4 · P2 · C3,set 5 · 6/28 · Insects 1–2,Torah 120 · Zohar II 16–17,§ 106 (p. 60) · Vaera,Lo Taaseh 180–183,LT Vayikra · Folio 18 · day 118 of 364,Prayer 59 — first half · day 118 of 364,"Tosefta Yevamot 12, 13, 14 &amp; Tosefta Ketubot 1 · Week 17 · Day 6",Jeremiah 22 & 23 · Week 17 · Day 6,Chapter 10 · cycle 10 · day 1 of 13,Sichos HaRan · §118 of 308 · day 118 of 369,OC 235–236 · half-days 235 & 236,Vaera,Rav Pe’alim · Vol II · Orach Chayim 6 · Vol II · Orach Chayim 7,Se’if ג׳ · day 1 of 13,"בְּכָל דוֹר וָדוֹר חַיָיב אָדָם לִרְאוֹת אֶת עַצְמוֹ כְּאִלוּ הוּא יָצָא מִמִצְרָיִם · פסחים קטז,ב",Insects 1–2,Megillah · 6a · Tevet,Emunah — 6/27 · Emunah — 7/27,Story 27 · 28 · Vaera,Temurah 17 · תְּמוּרָה,Class 117 · of 118,Vaera · Day 4,Day 118 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 1 of 13,Gate 1 · Gate 2 · Gate 3 · day 1 of 13,"Shevitat Yom Tov · Chametz u'Matzah · Shofar, Sukkah v'Lul · set 5 of 14 · day 6 of 28",Temurah 17 · review,Story 118 · Parshat Vaera
119,2027-01-07,28 Tevet,Vaera,Torah 121 · KST § 107 (p. 61) · Lo Taaseh 184–185,ט Tet · כט · set 6 · day 9 of 22,Malchut shebeTiferet · shebeTiferet · day 21 of 49,ערי · 46 of 72 · גָּמוּל 22 · ה׳,Winter · 28 of 91 · Ratzo · F2 letter 5 · Eicha 2:5 · ה,1st cycle 10 · day 2 of 13 · Titein Emet Le'Yaakov,Cycle 3 · day 37 of 41 · Chayah 7 of 10 · Faithfulness,OC 237–238 · Orach Chaim · 237 of 728,Vaera · D5 · P2 · C3,set 5 · 7/28 · Insects 3–4,Torah 121 · Zohar II 18–21,§ 107 (p. 61) · Vaera,Lo Taaseh 184–185,LT Vayikra · Folio 19 · day 119 of 364,Prayer 59 — second half · day 119 of 364,"Tosefta Ketubot 2, 3, 4, 5 · Week 17 · Day 7",Jeremiah 24 & 25 · Week 17 · Day 7,Chapter 10 · cycle 10 · day 2 of 13,Sichos HaRan · §119 of 308 · day 119 of 369,OC 237–238 · half-days 237 & 238,Vaera,Rav Pe’alim · Vol II · Orach Chayim 8 · Vol II · Orach Chayim 9,Se’if ד׳ · day 2 of 13,"כָּל יִשְׂרָאֵל יֵשׁ לָהֶם חֵלֶק לְעוֹלָם הַבָּא שֶׁנֶאֱמַר וְעַמֵךְ כּוּלָם צַדִיקִים לְעוֹלָם יִירְשׁוּ אָרֶץ נֵצֶר מַטָעַי מַעֲשֵׂה יָדַי לְהִתְפָּאֵר · סנהדרין צ,א",Insects 3–4,Megillah · 6a · Tevet,Emunah — 6/27 · Emunah — 7/27,Story 27 · 28 · Vaera,Temurah 18 · תְּמוּרָה,Class 118 · of 118,Vaera · Day 5,Day 119 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 2 of 13,Gate 4 · Gate 5 · Gate 6 · day 2 of 13,Shekalim · Kiddush HaChodesh · Ta'aniyot · set 5 of 14 · day 7 of 28,Temurah 18 · review,Story 119 · Parshat Vaera
120,2027-01-08,29 Tevet,Vaera,Torah 122 · KST § 108 (p. 61) · Lo Taaseh 183–186,י Yud · לי · set 6 · day 10 of 22,Chesed shebeNetzach · shebeTiferet · day 22 of 49,עשל · 47 of 72 · דְּלָיָהוּ 23 · ה׳,Winter · 29 of 91 · Ratzo · F2 letter 6 · Eicha 2:6 · ו,1st cycle 10 · day 3 of 13 · Titein Emet Le'Yaakov,Cycle 3 · day 38 of 41 · Chayah 8 of 10 · Do Not Steal,OC 239–240 · Orach Chaim · 239 of 728,Vaera · D6 · P2 · C3,set 5 · 8/28 · Eggs 1–2,Torah 122 · Zohar II 22–23,§ 108 (p. 61) · Vaera,Lo Taaseh 183–186,LT Vayikra · Folio 20 · day 120 of 364,Prayer 60 — first half · day 120 of 364,Yevamot 8 & 9 · Week 18 · Day 1,Jeremiah 26 & 27 · Week 18 · Day 1,Chapter 10 · cycle 10 · day 3 of 13,Sichos HaRan · §120 of 308 · day 120 of 369,OC 239–240 · half-days 239 & 240,Vaera,Ben Ish Chai · Halachot,Se’if ה׳ · day 3 of 13,כִּי קָרוֹב אֵלֶיךָ הַדָבָר מְאֹד בְּפִיךָ וּבִּלְבָבְךָ לַעֲשׂוֹתוֹ · דברים ל:יד,Eggs 1–2,Megillah · 6a · Tevet,Emunah — 6/27 · Emunah — 7/27,Story 27 · 28 · Vaera,Temurah 19 · תְּמוּרָה,Class 1 · of 118,Vaera · Day 6,Day 120 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 3 of 13,Gate 7 · Gate 8 · Gate 9 · day 3 of 13,Megillah v'Chanukah · Ishut · Geirushin · set 5 of 14 · day 8 of 28,Temurah 19 · review,Story 120 · Parshat Vaera
121,2027-01-09,1 Shevat,Vaera,Torah 123 · KST § 109–110 (p. 62) · Lo Taaseh 187–188,כ Kaf · כל · set 6 · day 11 of 22,Gevurah shebeNetzach · shebeTiferet · day 23 of 49,מיה · 48 of 72 · מַעַזְיָהוּ 24 · ה׳,Winter · 30 of 91 · Ratzo · F2 letter 7 · Eicha 2:7 · ז,1st cycle 10 · day 4 of 13 · Titein Emet Le'Yaakov,Cycle 3 · day 39 of 41 · Chayah 9 of 10 · Truth / No False Witness,OC 241–242 · Orach Chaim · 241 of 728,Vaera · D7 · P2 · C3,set 5 · 9/28 · Eggs 3–4 · Vaera,Torah 123 · Zohar II 24–25,§ 109–110 (p. 62) · Vaera,Lo Taaseh 187–188,LT Vayikra · Folio 21 · day 121 of 364,Prayer 60 — second half · day 121 of 364,Yevamot 10 & 11 · Week 18 · Day 2,Jeremiah 28 & 29 · Week 18 · Day 2,Chapter 10 · cycle 10 · day 4 of 13,Sichos HaRan · §121 of 308 · day 121 of 369,OC 241–242 · half-days 241 & 242,Vaera,Ben Ish Chai · Drash · Vaera · Drash,Se’if ו׳ · day 4 of 13,וְהִנֵה ה׳ נִצָב עָלָיו וּמְלֹא כָל הָאָרֶץ כּבוֹדוֹ וּמַבִּיט עָלָיו וּבוֹחֵן כְּלָיוֹת וָלֵב אִם עוֹבְדוֹ כָּרָאוּי · תניא פרק מא,Eggs 3–4,Megillah · 6a · Tevet,Emunah — 6/27 · Emunah — 7/27,Story 27 · 28 · Vaera,Temurah 20 · תְּמוּרָה,Class 2 · of 118,Sefer Yetzirah · 1:14,Day 121 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 4 of 13,Gate 10 · Gate 11 · Gate 12 · day 4 of 13,Yibum v'Chalitzah · Na'arah Betulah · Sotah · set 5 of 14 · day 9 of 28,Temurah 20 · review,Story 121 · Parshat Vaera
122,2027-01-10,2 Shevat,Bo,Torah 124 · KST § 111 (p. 64) · Lo Taaseh 186–189,ל Lamed · לכ · set 6 · day 12 of 22,Tiferet shebeNetzach · shebeTiferet · day 24 of 49,והו · 49 of 72 · יְהוֹיָרִיב 1 · פָּנָיו,Winter · 31 of 91 · Ratzo · F2 letter 8 · Eicha 2:8 · ח,1st cycle 10 · day 5 of 13 · Titein Emet Le'Yaakov,Cycle 3 · day 40 of 41 · Chayah 10 of 10 · Do Not Covet,OC 243–244 · Orach Chaim · 243 of 728,Bo · D1 · P3 · C3,set 5 · 10/28 · Eggs 5 · Meat and Milk 1,Torah 124 · Zohar II 26–27,§ 111 (p. 64) · Bo,Lo Taaseh 186–189,LT Vayikra · Folio 22 · day 122 of 364,Prayer 61 — first half · day 122 of 364,Yevamot 12 & 13 · Week 18 · Day 3,Jeremiah 30 & 31 · Week 18 · Day 3,Chapter 10 · cycle 10 · day 5 of 13,Sichos HaRan · §122 of 308 · day 122 of 369,OC 243–244 · half-days 243 & 244,Bo,Rav Pe’alim · Vol II · Orach Chayim 10 · Vol II · Orach Chayim 11,Se’if ז׳ · day 5 of 13,בְּרֵאשִׁית בָּרָא אֶלֹקִים אֵת הַשָׁמַיִם וְאֵת הָאָרֶץ · בראשית א:א,Eggs 5 · Meat and Milk 1,Moed Katan · 6b · Yud Shvat,Emunah — 8/27 · Emunah — 9/27,Story 29 · 30 · Bo,Temurah 21 · תְּמוּרָה,Class 3 · of 118,Bo · Day 1,Day 122 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 5 of 13,Gate 13 · Gate 14 · Gate 15 · day 5 of 13,Issurei Biah · Ma'achalot Assurot · Shechitah · set 5 of 14 · day 10 of 28,Temurah 21 · review,Story 122 · Parshat Bo
123,2027-01-11,3 Shevat,Bo,Torah 125 · KST § 112 (p. 65) · Lo Taaseh 190–191,מ Mem · מל · set 6 · day 13 of 22,Netzach shebeNetzach · shebeTiferet · day 25 of 49,דני · 50 of 72 · יְדַעְיָה 2 · פָּנָיו,Winter · 32 of 91 · Ratzo · F2 letter 9 · Eicha 2:9 · ט,1st cycle 10 · day 6 of 13 · Titein Emet Le'Yaakov,,OC 245–246 · Orach Chaim · 245 of 728,Bo · D2 · P3 · C3,set 5 · 11/28 · Meat and Milk 2–3,Torah 125 · Zohar II 28–29,§ 112 (p. 65) · Bo,Lo Taaseh 190–191,LT Vayikra · Folio 23 · day 123 of 364,Prayer 61 — second half · day 123 of 364,Yevamot 14 & 15 · Week 18 · Day 4,Jeremiah 32 & 33 · Week 18 · Day 4,Chapter 10 · cycle 10 · day 6 of 13,Sichos HaRan · §123 of 308 · day 123 of 369,OC 245–246 · half-days 245 & 246,Bo,Rav Pe’alim · Vol II · Orach Chayim 12 · Vol II · Orach Chayim 13,Se’if ח׳ · day 6 of 13,וְשִׁנַנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ · דברים ו:ז,Meat and Milk 2–3,Moed Katan · 6b · Yud Shvat,Emunah — 8/27 · Emunah — 9/27,Story 29 · 30 · Bo,Temurah 22 · תְּמוּרָה,Class 4 · of 118,Bo · Day 2,Day 123 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 6 of 13,Gate 16 · Gate 17 · Gate 18 · day 6 of 13,Shevuot · Nedarim · Nezirut · set 5 of 14 · day 11 of 28,Temurah 22 · review,Story 123 · Parshat Bo
124,2027-01-12,4 Shevat,Bo,Torah 126 · KST § 113 (p. 65) · Lo Taaseh 189–192,נ Nun · נכ · set 6 · day 14 of 22,Hod shebeNetzach · shebeTiferet · day 26 of 49,החש · 51 of 72 · חָרִם 3 · פָּנָיו,Winter · 33 of 91 · Ratzo · F2 letter 10 · Eicha 2:10 · י,1st cycle 10 · day 7 of 13 · Titein Emet Le'Yaakov,Year-Cycle 4 · day 1 of 55,OC 247–248 · Orach Chaim · 247 of 728,Bo · D3 · P3 · C3,set 5 · 12/28 · Meat and Milk 4–5,Torah 126 · Zohar II 30–31,§ 113 (p. 65) · Bo,Lo Taaseh 189–192,LT Vayikra · Folio 24 · day 124 of 364,Prayer 62 — first half · day 124 of 364,Yevamot 16 &amp; Ketubot 1 · Week 18 · Day 5,Jeremiah 34 & 35 · Week 18 · Day 5,Chapter 10 · cycle 10 · day 7 of 13,Sichos HaRan · §124 of 308 · day 124 of 369,OC 247–248 · half-days 247 & 248,Bo,Rav Pe’alim · Vol II · Orach Chayim 14 · Vol II · Orach Chayim 15,Se’if ט׳ · day 7 of 13,"יָגַעְתִּי וְלֹא מָצָאתִי אַל תַּאַמִין לֹא יָגַעְתִּי וּמָצָאתִי אַל תַּאַמִין יָגַעְתִּי וּמָצָאתִי תַּאַמִין · מגילה ו,ב",Meat and Milk 4–5,Moed Katan · 6b · Yud Shvat,Emunah — 8/27 · Emunah — 9/27,Story 29 · 30 · Bo,Temurah 23 · תְּמוּרָה,Class 5 · of 118,Bo · Day 3,Day 124 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 7 of 13,Gate 19 · Gate 20 · Gate 21 · day 7 of 13,Erchin v'Charamin · Kilayim · Matnot Aniyim · set 5 of 14 · day 12 of 28,Temurah 23 · review,Story 124 · Parshat Bo
125,2027-01-13,5 Shevat,Bo,Torah 127 · KST § 114 (p. 66) · Lo Taaseh 193–194,ס Samech · סל · set 6 · day 15 of 22,Yesod shebeNetzach · shebeTiferet · day 27 of 49,עמם · 52 of 72 · שְׂעֹרִים 4 · פָּנָיו,Winter · 34 of 91 · Ratzo · F2 letter 11 · Eicha 2:11 · כ,1st cycle 10 · day 8 of 13 · Titein Emet Le'Yaakov,Year-Cycle 4 · day 2 of 55,OC 249–250 · Orach Chaim · 249 of 728,Bo · D4 · P3 · C3,set 5 · 13/28 · Mixtures 1–2,Torah 127 · Zohar II 32–33,§ 114 (p. 66) · Bo,Lo Taaseh 193–194,LT Vayikra · Folio 25 · day 125 of 364,Prayer 62 — second half · day 125 of 364,"Tosefta Ketubot 6, 7, 8, 9 · Week 18 · Day 6",Jeremiah 36 & 37 · Week 18 · Day 6,Chapter 10 · cycle 10 · day 8 of 13,Sichos HaRan · §125 of 308 · day 125 of 369,OC 249–250 · half-days 249 & 250,Bo,Rav Pe’alim · Vol II · Orach Chayim 16 · Vol II · Orach Chayim 17,Se’if י׳ · day 8 of 13,וְאָהַבְתָּ לְרֵעַךָ כָּמוֹךָ – רַבִּי עַקִיבָא אוֹמֵר זֶה כְּלָל גָדוֹל בַּתּוֹרָה · ויקרא יט:יח,Mixtures 1–2,Moed Katan · 6b · Yud Shvat,Emunah — 8/27 · Emunah — 9/27,Story 29 · 30 · Bo,Temurah 24 · תְּמוּרָה,Class 6 · of 118,Bo · Day 4,Day 125 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 8 of 13,Gate 22 · Gate 23 · Gate 24 · day 8 of 13,Terumot · Ma'aserot · Ma'aser Sheni v'Neta Revai · set 5 of 14 · day 13 of 28,Temurah 24 · review,Story 125 · Parshat Bo
126,2027-01-14,6 Shevat,Bo,Torah 128 · KST § 115 (p. 67) · Lo Taaseh 192–195,ע Ayin · עכ · set 6 · day 16 of 22,Malchut shebeNetzach · shebeTiferet · day 28 of 49,ננא · 53 of 72 · מַלְכִּיָּה 5 · פָּנָיו,Winter · 35 of 91 · Ratzo · F2 letter 12 · Eicha 2:12 · ל,1st cycle 10 · day 9 of 13 · Titein Emet Le'Yaakov,Year-Cycle 4 · day 3 of 55,OC 251–252 · Orach Chaim · 251 of 728,Bo · D5 · P3 · C3,set 5 · 14/28 · Mixtures 3–4,Torah 128 · Zohar II 34–37,§ 115 (p. 67) · Bo,Lo Taaseh 192–195,LT Vayikra · Folio 26 · day 126 of 364,Prayer 63 — first half · day 126 of 364,"Tosefta Ketubot 10, 11, 12 &amp; Tosefta Nedarim 1 · Week 18 · Day 7",Jeremiah 38 & 39 · Week 18 · Day 7,Chapter 10 · cycle 10 · day 9 of 13,Sichos HaRan · §126 of 308 · day 126 of 369,OC 251–252 · half-days 251 & 252,Bo,Rav Pe’alim · Vol II · Orach Chayim 18 · Vol II · Orach Chayim 19,Se’if י״א · day 9 of 13,וְזֶה כָּל הָאָדָם וְתַכְלִית בְּרִיאָתוֹ וּבְרִיאַת כָּל הָעוֹלָמוֹת עֶלְיוֹנִים וְתַּחְתּוֹנִים לִהְיוֹת לוֹ דִירָה זוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Mixtures 3–4,Moed Katan · 6b · Yud Shvat,Emunah — 8/27 · Emunah — 9/27,Story 29 · 30 · Bo,Temurah 25 · תְּמוּרָה,Class 7 · of 118,Bo · Day 5,Day 126 · of 369,Chapter 10 · cycle 10,The Garden of Purity · cycle 10 of 13,Phase 10 · day 9 of 13,Gate 25 · Gate 26 · Gate 27 · day 9 of 13,Bikkurim · Shemitah v'Yovel · Beit HaBechirah · set 5 of 14 · day 14 of 28,Temurah 25 · review,Story 126 · Parshat Bo
